this_year_rank ,last_year_rank ,company ,leadership ,country ,defense_revenue,defense_revenue_new,defense_revenue_change_percent ,total_revenue ,revenue_fom_defense
1,1,Lockheed Martin 1 2,"James D. Taiclet, Chairman, President and CEO",U.S.,62562,56606,0.11,65398,96%
2,NEW,Raytheon Technologies 3,"Greg Hayes, CEO and Executive Chairman",U.S.,42000,0,N/A,65000,65%
3,2,Boeing 4,"David Calhoun, President and CEO",U.S.,32400,34300,-0.06,58158,56%
4,4,Northrop Grumman,"Kathy J. Warden, Chairman, CEO and President",U.S.,31400,28600,0.1,36799,85%
5,3,General Dynamics 5,"Phebe Novakovic, Chairman and CEO",U.S.,29800,29512,0.01,37900,79%
6,6,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Luo Ronghuai, President",China,25468.59,25075.38,0.02,67911.42,38%
7,7,BAE Systems 1,"Charles Woodburn, Group CEO",U.K.,23502.38,21033.27,0.12,24739.35,95%
8,8,China North Industries Group Corporation Limited,"Jiao Kaihe, Chairman, and Liu Dashan, President",China,15249.27,14771.6,0.03,70303.18,22%
9,9,L3Harris Technologies 6,"Bill Brown, Chair and CEO",U.S.,14936,14602,0.02,18194,82%
10,NEW,China State Shipbuilding Corporation Limited 7,"Lei Fanpei, Chairman, and Yang Jincheng, Director and General Manager",China,13379.35,10481.85,0.28,66911.23,20%
11,11,China Aerospace Science and Industry Corporation,"Yuan Jie, Chairman, and Liu ShiQuan, President",China,12060.26,12035.25,0,37702.8,32%
12,12,Airbus 8,"Guillaume Faury, CEO",Netherlands/France,12004.28,11266.57,0.07,56970.41,21%
13,13,Leonardo,"Alessandro Profumo, CEO",Italy,11173.33,11109.27,0.01,15306.4,73%
14,18,China South Industries Group Corporation,"Xu Xianping, Chairman of the Group and Secretary of the Party Committee, and Gong Yangde, Group Company Director and General Manager",China,10697.68,8845.87,0.21,34499.29,31%
15,15,China Electronics Technology Group,"Xiong Qunli, Chairman, and Wu Manqing, President *",China,10465.75,10148.87,0.03,33977.45,31%
16,16,Thales,"Patrice Caine, Chairman and CEO",France,9228.36,9251.68,0,19391.53,48%
17,19,Huntington Ingalls Industries,"Mike Petters, President and CEO",U.S.,8654.37,8119,0.07,9361,92%
